product;lot;zone;deliveryDriverName;deliveryDriverId;dematerializationCost;range_0_20;range_21_50;range_51_100;range_101_250;range_251_350;range_351_1000;range_1001_2000
890;1;AM;Poste ;20230717##POSTE;0,1283;7,89;8,83;8,83;9,56;9,56;10,51;10,51
890;2;AM;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;3;AM;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;4;AM;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;5;AM;Poste ;20230717##POSTE;0,1283;7,89;8,83;8,83;9,56;9,56;10,51;10,51
890;6;AM;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;7;AM;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;8;AM;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;9;AM;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;10;AM;Poste ;20230717##POSTE;0,1283;8,43;9,44;9,44;10,22;10,22;11,24;11,24
890;11;AM;Poste ;20230717##POSTE;0,1283;7,7;8,62;8,62;9,33;9,33;10,27;10,27
890;12;AM;RTI Sailpost-Snem;20230717##SAILPOST;0,15066;7,50027;8,30186;8,30186;8,99893;8,99893;9,90503;9,90503
890;13;AM;POST & SERVICE;20230717##POSE;0,119647;7,5;8,83531;8,83531;9,57715;9,57715;10,54154;10,54154
890;14;AM;POST & SERVICE;20230717##POSE;0,119647;7,5;8,83531;8,83531;9,57715;9,57715;10,54154;10,54154
890;15;AM;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
890;16;AM;Poste ;20230717##POSTE;0,1283;7,24;8,11;8,11;8,78;8,78;9,65;9,65
