unifiedDeliveryDriver;geoKey;capacity;peakCapacity;activationDateFrom;activationDateTo;products
Poste;RM;32000;94000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;890,AR,RS
Poste;00010;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00012;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00013;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00015;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00017;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00018;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00019;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00020;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00021;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00022;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00023;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00024;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00025;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00026;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00027;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00028;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00029;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00030;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
Poste;00031;2000;2000;2026-02-02T00:00:00.000Z;2026-02-08T23:59:59.999Z;
